C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,Ms
0.13,0.63,0.32,0.95,0.07,0.86,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0
0.3,0.7,0.2,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0
0.62,0.82,2.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0
0.62,0.85,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0
0.39,0.45,0.58,1.45,0.13,0.47,0.7,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,633.0
0.095,0.48,0.27,0.17,9.3,0.51,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.008,591.0
0.31,0.5,0.28,1.2,3.33,0.5,0.03,0.0,0.0,0.08,0.15,0.0,0.0,0.0,0.0,583.0
0.2,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0
0.4,0.48,0.15,0.15,1.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0
0.4,0.65,0.25,0.75,0.85,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0
0.26,0.57,0.0,0.0,2.2,0.48,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0
0.014,4.95,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,644.15
0.51,0.72,0.27,0.94,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0
0.76,0.29,0.22,0.11,0.07,0.019,0.02,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,483.0
0.22,0.66,0.3,0.56,0.15,0.44,0.0,0.0,0.049,0.0,0.18,0.0,0.0,0.0,0.02,698.0
0.46,0.5,0.24,1.52,3.96,0.07,0.0,0.0,0.0,0.59,0.2,0.0,0.0,0.0,0.0,508.0
0.11,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0
0.19,2.05,0.07,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0
0.09,0.37,0.22,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0
0.1,0.0,0.0,0.0,9.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0
0.004,0.03,0.075,0.0,21.82347,0.0,0.0,0.0,3.00679,0.0,0.0,0.0,0.0,0.0,0.002,444.26111
0.75,0.61,0.27,0.004,0.0,0.1,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,538.0
0.2,0.71,0.15,0.8,1.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.5
0.46,0.79,0.0,0.77,0.91,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0
1.06,0.97,0.28,1.05,0.13,0.03,0.0,0.0,0.0,1.15,0.25,0.0,0.0,0.0,0.0,518.0
0.9,1.07,0.3,0.49,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,473.0
0.0,0.0,0.0,0.0,19.51192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42126,0.0,0.0,542.15
0.34,0.52,0.37,1.8,2.65,0.53,0.15,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,558.0
0.0,0.0,0.0,0.0,30.77361,1.36279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.15
0.65,1.14,0.4,1.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,463.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,428.15
0.4,0.8,0.3,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0
0.37,0.85,0.37,0.0,1.44,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0
0.085,0.47,0.25,1.1,2.78,0.24,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.0
0.33,0.39,0.16,1.09,3.6,0.72,0.12,0.0,0.009,0.0,0.09,0.0,0.0,0.0,0.0,564.0
0.22,0.52,0.0,0.0,5.35,0.27,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0
0.0,0.0,0.0,0.0,30.76641,0.0,0.0,0.0,0.0,0.0,2.17995,0.0,0.0,0.0,0.0,221.15
0.32,0.47,0.29,1.21,4.13,0.3,0.013,0.0,0.0,0.11,0.15,0.0,0.0,0.0,0.0,569.0
0.41,0.66,0.25,1.03,0.31,0.17,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0
